TMDB321697,movie,Steve Jobs,,,2015,California at Jones,RDF Productions LLC,Universal Pictures,Danny Boyle,Aaron Sorkin,Michael Fassbender,Kate Winslet,Seth Rogen,4
TMDB119450,movie,Dawn of the Planet of the Apes,,,2014,California at Mason,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis,4
TMDB513576,movie,Always Be My Maybe,,,2019,Various,"Isla Productions, LLC",Netflix,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves,4
TMDB136797,movie,Need For Speed,,,2014,California and Powell,"Need For Speed Productions, LLC",Walt Disney Studios Motion Pictures,Scott Waugh,George Gatins,Aaron Paul,Dominic Cooper,Imogen Poots,4
TMDB513243,movie,The Etruscan Smile,,,2019,California Street at Sansome Street,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,4
TMDB340793,tv,Chance,2,,2017,Mason between Sacramento and California St,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,4
TMDB321697,movie,Steve Jobs,,,2015,Powell St. from California St. to Sutter St.,RDF Productions LLC,Universal Pictures,Danny Boyle,Aaron Sorkin,Michael Fassbender,Kate Winslet,Seth Rogen,4
TMDB69061,tv,The OA,,,2019,16th Avenue Steps,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,5
TMDB340793,tv,Chance,1,Pilot,2016,253 4th Ave.,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,5
TMDB340793,tv,Chance,1,103,2016,306 Clement,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,5
TMDB530466,movie,Bitter Melon,,,2018,386 4th Ave,Bitter Melon Film LLC/Mammoth Pictures,"ABS-CBN, Gravitas Ventures",H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera,5
TMDB399266,movie,Pushing Dead,,,2016,5th Ave at Fulton Street in Golden Gate Park,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,5
TMDB566525,movie,Shang-Chi and the Legend of the Ten Rings,,,2021,Clement and 7th Avenue,Freelance Restorations LLC,Disney/Marvel,Destin Daniel Cretton,"Dave Callaham, Destin Daniel Cretton, Andrew Lanham",Simu Liu,Tony Chiu-Wai Leung,Awkwafina,5
TMDB250124,movie,The Diary of a Teenage Girl,,,2015,Hamburger Haven,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,5
